"","last_name","first_name","player_id","team_id","team","position","age","competitive_runs","hp_to_1b","sprint_speed","display_team_name","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","Name","Team.x","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%.x","K%.x","ISO.x","BABIP.x","AVG.x","OBP.x","SLG.x","wOBA.x","xwOBA.x","wRC+.x","BsR.x","Off.x","Def.x","WAR.x","playerid.x","Team.y","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","BB%.y","K%.y","ISO.y","BABIP.y","AVG.y","OBP.y","SLG.y","wOBA.y","xwOBA.y","wRC+.y","BsR.y","Off.y","Def.y","WAR.y","playerid.y"
"1","Turner","Trea",607208,119,"LAD","SS",28,257,4.13,30.7,"---","SS",1,1,2,0,-2,1,2,-1,"77%","76%","1%",489,11.4,34.6,112.2,89.6,92.6,88.1,443,159,406,226,46.2,36,7.4,5.6,2021,646,489,0.328,0.304,0.024,0.536,0.485,0.051,0.386,0.364,0.022,"Trea Turner","- - -",148,646,28,107,77,32,6.3,17,0.208,0.362,0.328,0.375,0.536,0.386,0.364,142,5,39.5,6.4,6.8,16252,"- - -",148,646,28,107,77,32,6.3,17,0.208,0.362,0.328,0.375,0.536,0.386,0.364,142,5,39.5,6.4,6.8,16252
"2","Rosario","Amed",642708,114,"CLE","SS",25,248,4.2,29.5,"Guardians","SS",-3,-3,0,-2,-2,0,-2,-2,"71%","72%","-1%",434,5.6,32,111.5,88.8,90.8,88.7,423,140,404,188,43.5,12,2.8,2,2021,588,434,0.282,0.268,0.014,0.409,0.369,0.04,0.315,0.301,0.014,"Amed Rosario","CLE",141,588,11,77,57,13,5.3,20.4,0.127,0.34,0.282,0.321,0.409,0.315,0.301,99,1.2,0.6,3.4,2.4,15518,"CLE",141,588,11,77,57,13,5.3,20.4,0.127,0.34,0.282,0.321,0.409,0.315,0.301,99,1.2,0.6,3.4,2.4,15518
"3","Tatis Jr.","Fernando",665487,135,"SD","SS",22,148,4.26,29.3,"Padres","SS",3,3,3,1,1,-1,2,1,"70%","69%","1%",329,13.8,33.1,116.6,93.9,99.9,87.9,477,184,416,183,55.6,70,21.3,12.8,2021,546,329,0.282,0.279,0.00299999999999994,0.611,0.617,-0.006,0.403,0.407,-0.00399999999999994,"Fernando Tatis Jr.","SDP",130,546,42,99,97,25,11.4,28,0.328,0.324,0.282,0.364,0.611,0.403,0.407,156,9.3,48.5,6.2,7.3,19709,"SDP",130,546,42,99,97,25,11.4,28,0.328,0.324,0.282,0.364,0.611,0.403,0.407,156,9.3,48.5,6.2,7.3,19709
"4","Lux","Gavin",666158,119,"LAD","SS",23,135,4.18,29.1,"Dodgers","2B",-3,-4,0,-3,-2,0,-3,-2,"74%","77%","-3%",254,11.3,34.6,109.7,89.8,92.6,88.7,421,154,399,102,40.2,10,3.9,2.6,2021,381,254,0.242,0.26,-0.018,0.364,0.387,-0.023,0.303,0.323,-0.02,"Gavin Lux","LAD",102,381,7,49,46,4,10.8,21.8,0.122,0.3,0.242,0.328,0.364,0.303,0.323,91,3.8,-0.6,-1.6,1.1,19955,"LAD",102,381,7,49,46,4,10.8,21.8,0.122,0.3,0.242,0.328,0.364,0.303,0.323,91,3.8,-0.6,-1.6,1.1,19955
"5","Story","Trevor",596115,115,"COL","SS",28,175,4.31,28.7,"Rockies","SS",-5,-7,0,-2,-4,-1,0,-7,"73%","75%","-2%",392,17.5,34.2,111,90.6,94.1,87.5,475,187,419,167,42.6,39,9.9,6.6,2021,595,392,0.251,0.245,0.006,0.471,0.45,0.021,0.341,0.335,0.006,"Trevor Story","COL",142,595,24,88,75,20,8.9,23.4,0.221,0.293,0.251,0.329,0.471,0.341,0.335,100,6.4,6.1,2.3,2.8,12564,"COL",142,595,24,88,75,20,8.9,23.4,0.221,0.293,0.251,0.329,0.471,0.341,0.335,100,6.4,6.1,2.3,2.8,12564
"6","Newman","Kevin",621028,134,"PIT","SS",27,237,4.35,28.4,"Pirates","SS",4,6,6,1,-1,0,3,3,"79%","77%","2%",485,9.9,31.8,109.4,85.3,86.8,86.1,400,146,384,126,26,8,1.6,1.4,2021,554,485,0.226,0.255,-0.029,0.309,0.33,-0.021,0.249,0.275,-0.026,"Kevin Newman","PIT",148,554,5,50,39,6,4.9,7.4,0.083,0.236,0.226,0.265,0.309,0.249,0.275,54,5.1,-27.4,8.3,-0.1,17696,"PIT",148,554,5,50,39,6,4.9,7.4,0.083,0.236,0.226,0.265,0.309,0.249,0.275,54,5.1,-27.4,8.3,-0.1,17696
"7","Swanson","Dansby",621020,144,"ATL","SS",27,202,4.31,28.4,"Braves","SS",2,3,5,0,-3,1,5,-1,"76%","75%","1%",429,14.1,36.6,109.6,89.3,94.4,83.8,440,177,403,183,42.7,49,11.4,7.5,2021,653,429,0.248,0.251,-0.003,0.449,0.455,-0.006,0.322,0.332,-0.01,"Dansby Swanson","ATL",160,653,27,78,88,9,8,25.6,0.201,0.297,0.248,0.311,0.449,0.322,0.332,98,3.4,2,10.2,3.4,18314,"ATL",160,653,27,78,88,9,8,25.6,0.201,0.297,0.248,0.311,0.449,0.322,0.332,98,3.4,2,10.2,3.4,18314
"8","Lopez","Nicky",670032,118,"KC","SS",26,254,4.19,28.2,"Royals","SS",18,24,9,12,1,2,20,4,"73%","68%","5%",438,2.8,27.4,107.9,86.8,90,85.2,395,121,382,118,26.9,3,0.7,0.5,2021,565,438,0.3,0.239,0.061,0.378,0.305,0.073,0.329,0.283,0.046,"Nicky Lopez","KCR",151,565,2,78,43,22,8.7,13.1,0.078,0.347,0.3,0.365,0.378,0.329,0.283,106,8.2,12.6,28.1,6,19339,"KCR",151,565,2,78,43,22,8.7,13.1,0.078,0.347,0.3,0.365,0.378,0.329,0.283,106,8.2,12.6,28.1,6,19339
"9","Kiner-Falefa","Isiah",643396,140,"TEX","SS",26,312,4.29,28,"Rangers","SS",-7,-9,-12,2,1,-1,-11,2,"74%","76%","-2%",548,5.4,31.6,107.9,85.5,89.5,83.6,423,134,401,158,28.8,10,1.8,1.5,2021,677,548,0.271,0.267,0.004,0.357,0.349,0.008,0.293,0.292,0.001,"Isiah Kiner-Falefa","TEX",158,677,8,74,53,20,4.1,13.3,0.087,0.304,0.271,0.312,0.357,0.293,0.292,85,4.2,-8.3,2.8,1.8,16512,"TEX",158,677,8,74,53,20,4.1,13.3,0.087,0.304,0.271,0.312,0.357,0.293,0.292,85,4.2,-8.3,2.8,1.8,16512
"10","Bichette","Bo",666182,141,"TOR","SS",23,240,4.4,28,"Blue Jays","SS",-5,-6,-13,1,3,3,-7,1,"73%","74%","-1%",507,7.3,33.5,115.5,91.4,94.6,90,468,153,401,241,47.5,50,9.9,7.2,2021,690,507,0.298,0.291,0.007,0.484,0.49,-0.006,0.354,0.355,-0.001,"Bo Bichette","TOR",159,690,29,121,102,25,5.8,19.9,0.186,0.339,0.298,0.343,0.484,0.354,0.355,122,6.9,25.2,2.2,5.1,19612,"TOR",159,690,29,121,102,25,5.8,19.9,0.186,0.339,0.298,0.343,0.484,0.354,0.355,122,6.9,25.2,2.2,5.1,19612
