"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Fernando Tatis Jr.","SDP","130","546","42","99","97","25","11.4%","28.0%",".328",".324",".282",".364",".611",".403",".407","156","9.3","48.5","6.2","7.3","19709"
"Trea Turner","- - -","148","646","28","107","77","32","6.3%","17.0%",".208",".362",".328",".375",".536",".386",".364","142","5.0","39.5","6.4","6.8","16252"
"Brandon Crawford","SFG","138","549","24","79","90","11","10.2%","19.1%",".224",".334",".298",".373",".522",".377",".356","139","0.4","27.8","17.2","6.3","5343"
"Carlos Correa","HOU","148","640","26","104","92","0","11.7%","18.1%",".205",".308",".279",".366",".485",".364",".373","134","-0.6","26.3","15.0","6.3","14162"
"Nicky Lopez","KCR","151","565","2","78","43","22","8.7%","13.1%",".078",".347",".300",".365",".378",".329",".283","106","8.2","12.6","28.1","6.0","19339"
"Bo Bichette","TOR","159","690","29","121","102","25","5.8%","19.9%",".186",".339",".298",".343",".484",".354",".355","122","6.9","25.2","2.2","5.1","19612"
"Tim Anderson","CHW","123","551","17","94","61","18","4.0%","21.6%",".159",".372",".309",".338",".469",".345",".329","120","6.1","19.5","8.9","4.7","15172"
"Xander Bogaerts","BOS","144","603","23","90","79","5","10.3%","18.7%",".198",".333",".295",".370",".493",".368",".359","130","1.2","23.7","-0.3","4.4","12161"
"Francisco Lindor","NYM","125","524","20","73","63","10","11.1%","18.3%",".181",".248",".230",".322",".412",".317",".345","103","2.0","4.0","20.8","4.2","12916"
"Jake Cronenworth","SDP","152","643","21","94","71","4","8.6%","14.0%",".194",".283",".266",".340",".460",".341",".348","116","2.1","15.3","3.7","4.0","18036"
"Javier Baez","- - -","138","547","31","80","87","18","5.1%","33.6%",".229",".352",".265",".319",".494",".344",".325","116","3.0","14.1","6.8","3.9","12979"
"Corey Seager","LAD","95","409","16","54","57","1","11.7%","16.1%",".215",".336",".306",".394",".521",".389",".392","147","-1.9","22.4","0.4","3.7","13624"
"Dansby Swanson","ATL","160","653","27","78","88","9","8.0%","25.6%",".201",".297",".248",".311",".449",".322",".332","98","3.4","2.0","10.2","3.4","18314"
"J.P. Crawford","SEA","160","687","9","89","54","3","8.4%","16.6%",".103",".320",".273",".338",".376",".314",".298","103","-2.7","-0.2","9.5","3.3","15491"
"Willy Adames","- - -","140","555","25","77","73","5","10.3%","28.1%",".219",".331",".262",".337",".481",".349",".325","119","0.2","13.8","-0.1","3.2","15986"
"Trevor Story","COL","142","595","24","88","75","20","8.9%","23.4%",".221",".293",".251",".329",".471",".341",".335","100","6.4","6.1","2.3","2.8","12564"
"Amed Rosario","CLE","141","588","11","77","57","13","5.3%","20.4%",".127",".340",".282",".321",".409",".315",".301","99","1.2","0.6","3.4","2.4","15518"
"Wander Franco","TBR","70","308","7","53","39","2","7.8%","12.0%",".174",".311",".288",".347",".463",".348",".329","126","3.1","13.1","0.2","2.4","23667"
"Miguel Rojas","MIA","132","539","9","66","48","13","6.9%","13.7%",".127",".295",".265",".322",".392",".311",".292","97","1.5","-0.3","4.7","2.2","7802"
"Luis Urias","MIL","150","570","23","77","75","5","11.1%","20.4%",".196",".280",".249",".345",".445",".340",".333","111","-0.7","7.3","-5.9","2.0","16622"
"Jazz Chisholm Jr.","MIA","124","507","18","70","53","23","6.7%","28.6%",".177",".319",".248",".303",".425",".312",".307","98","3.3","2.1","1.2","2.0","20454"
"Kyle Farmer","CIN","147","529","16","60","63","2","4.2%","18.3%",".153",".296",".263",".316",".416",".316",".302","91","-1.5","-7.2","9.1","2.0","14813"
"Josh Rojas","ARI","139","550","11","69","44","9","10.5%","24.9%",".147",".345",".264",".341",".411",".327",".299","102","4.6","5.9","-5.8","1.8","19734"
"Edmundo Sosa","STL","113","326","6","39","27","4","5.2%","19.3%",".118",".326",".271",".346",".389",".322",".326","104","-1.0","0.8","6.6","1.8","17022"
"Isiah Kiner-Falefa","TEX","158","677","8","74","53","20","4.1%","13.3%",".087",".304",".271",".312",".357",".293",".292","85","4.2","-8.3","2.8","1.8","16512"
"Jose Iglesias","- - -","137","511","9","65","48","5","4.1%","14.7%",".120",".305",".271",".309",".391",".304",".299","91","-0.2","-6.1","6.1","1.7","10231"
